databreachcause,washingtoniansaffected,industrytype
0.0,24563.0,0.0
0.0,24563.0,0.0
0.0,24563.0,0.0
0.0,8390.0,0.0
0.0,8390.0,0.0
0.0,8390.0,0.0
2.0,518.0,4.0
2.0,518.0,4.0
2.0,518.0,4.0
2.0,518.0,4.0
0.0,2373.0,0.0
0.0,2373.0,0.0
0.0,2373.0,0.0
0.0,687.0,0.0
0.0,687.0,0.0
0.0,687.0,0.0
0.0,687.0,0.0
0.0,1442.0,0.0
0.0,1442.0,0.0
0.0,1442.0,0.0
0.0,1442.0,0.0
1.0,5679.0,1.0
1.0,5679.0,1.0
1.0,2655.0,2.0
1.0,2655.0,2.0
1.0,2655.0,2.0
1.0,2655.0,2.0
2.0,77618.0,0.0
2.0,77618.0,0.0
2.0,77618.0,0.0
2.0,77618.0,0.0
0.0,4631.0,0.0
0.0,4631.0,0.0
0.0,941.0,0.0
0.0,941.0,0.0
0.0,941.0,0.0
0.0,941.0,0.0
0.0,941.0,0.0
0.0,941.0,0.0
2.0,1434.0,1.0
2.0,1434.0,1.0
2.0,1434.0,1.0
2.0,1434.0,1.0
0.0,3564.0,0.0
0.0,3564.0,0.0
0.0,3564.0,0.0
0.0,992.0,5.0
0.0,992.0,5.0
0.0,992.0,5.0
0.0,992.0,5.0
0.0,992.0,5.0
0.0,627.0,4.0
0.0,627.0,4.0
0.0,627.0,4.0
0.0,627.0,4.0
1.0,1419.0,0.0
1.0,1419.0,0.0
1.0,1419.0,0.0
0.0,1595.0,0.0
0.0,1595.0,0.0
0.0,1595.0,0.0
2.0,29425.0,0.0
2.0,29425.0,0.0
2.0,29425.0,0.0
1.0,500.0,0.0
1.0,500.0,0.0
2.0,2721.0,0.0
2.0,2721.0,0.0
2.0,2721.0,0.0
2.0,2721.0,0.0
2.0,328889.0,0.0
2.0,328889.0,0.0
2.0,328889.0,0.0
2.0,328889.0,0.0
2.0,328889.0,0.0
2.0,328889.0,0.0
2.0,328889.0,0.0
0.0,975.0,2.0
0.0,975.0,2.0
0.0,975.0,2.0
0.0,3230.0,0.0
0.0,3230.0,0.0
0.0,3230.0,0.0
0.0,4555.0,0.0
0.0,4555.0,0.0
0.0,664.0,0.0
0.0,664.0,0.0
0.0,664.0,0.0
2.0,5264.0,0.0
2.0,5264.0,0.0
2.0,5264.0,0.0
2.0,5264.0,0.0
1.0,2185.0,0.0
1.0,2185.0,0.0
1.0,2185.0,0.0
1.0,2185.0,0.0
1.0,2185.0,0.0
1.0,2185.0,0.0
1.0,2185.0,0.0
2.0,5270.0,2.0
2.0,5270.0,2.0
2.0,5270.0,2.0
2.0,5270.0,2.0
0.0,15.0,0.0
0.0,15.0,0.0
0.0,640.0,0.0
0.0,640.0,0.0
2.0,9042.0,0.0
2.0,9042.0,0.0
2.0,9042.0,0.0
2.0,9042.0,0.0
2.0,91187.0,3.0
2.0,91187.0,3.0
2.0,91187.0,3.0
2.0,91187.0,3.0
2.0,91187.0,3.0
2.0,2802.0,4.0
2.0,2802.0,4.0
2.0,2802.0,4.0
2.0,2802.0,4.0
2.0,566.0,0.0
2.0,566.0,0.0
2.0,566.0,0.0
2.0,566.0,0.0
0.0,8844.0,0.0
0.0,8844.0,0.0
0.0,8844.0,0.0
0.0,8844.0,0.0
0.0,8844.0,0.0
0.0,544.0,0.0
0.0,544.0,0.0
0.0,544.0,0.0
0.0,544.0,0.0
0.0,2162.0,0.0
0.0,2162.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,41485.0,0.0
2.0,1639.0,0.0
2.0,1639.0,0.0
2.0,1639.0,0.0
2.0,1639.0,0.0
2.0,1639.0,0.0
2.0,1639.0,0.0
2.0,708.0,2.0
2.0,708.0,2.0
2.0,708.0,2.0
2.0,708.0,2.0
2.0,708.0,2.0
2.0,2145.0,3.0
2.0,2145.0,3.0
2.0,2145.0,3.0
2.0,2145.0,3.0
0.0,602.0,0.0
0.0,602.0,0.0
0.0,602.0,0.0
0.0,602.0,0.0
2.0,1061.0,0.0
2.0,1061.0,0.0
1.0,1000.0,2.0
