Id,DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,InformationType,Year,WashingtoniansAffectedRange,BreachLifecycleRange
9561,03/28/2018 12:00:00 AM,04/11/2018 12:00:00 AM,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,Delta Airlines,Malware,24563,Business,Software,Name,2018,"10,000-49,999",100-199
9561,03/28/2018 12:00:00 AM,04/11/2018 12:00:00 AM,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,Delta Airlines,Malware,24563,Business,Software,Financial & Banking Information,2018,"10,000-49,999",100-199
9561,03/28/2018 12:00:00 AM,04/11/2018 12:00:00 AM,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,Delta Airlines,Malware,24563,Business,Software,Other,2018,"10,000-49,999",100-199
9562,03/28/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,"Best Buy Co, Inc.",Malware,8390,Business,Retail,Name,2018,"1,000-9,999",100-199
9562,03/28/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,"Best Buy Co, Inc.",Malware,8390,Business,Retail,Financial & Banking Information,2018,"1,000-9,999",100-199
9562,03/28/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Cyberattack,2017-09-26T00:00:00,2017-10-12T00:00:00,"Best Buy Co, Inc.",Malware,8390,Business,Retail,Other,2018,"1,000-9,999",100-199
9563,03/14/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Unauthorized Access,,,Inogen Inc.,,518,Health,,Name,2018,500-999,Unknown
9563,03/14/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Unauthorized Access,,,Inogen Inc.,,518,Health,,Health Insurance Policy or ID Number,2018,500-999,Unknown
9563,03/14/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Unauthorized Access,,,Inogen Inc.,,518,Health,,Medical Information,2018,500-999,Unknown
9563,03/14/2018 12:00:00 AM,04/13/2018 12:00:00 AM,Unauthorized Access,,,Inogen Inc.,,518,Health,,Other,2018,500-999,Unknown
9565,03/15/2018 12:00:00 AM,04/24/2018 12:00:00 AM,Cyberattack,2017-09-27T00:00:00,2017-10-12T00:00:00,Sears Holdings,Malware,2373,Business,Retail,Name,2018,"1,000-9,999",100-199
9565,03/15/2018 12:00:00 AM,04/24/2018 12:00:00 AM,Cyberattack,2017-09-27T00:00:00,2017-10-12T00:00:00,Sears Holdings,Malware,2373,Business,Retail,Financial & Banking Information,2018,"1,000-9,999",100-199
9565,03/15/2018 12:00:00 AM,04/24/2018 12:00:00 AM,Cyberattack,2017-09-27T00:00:00,2017-10-12T00:00:00,Sears Holdings,Malware,2373,Business,Retail,Other,2018,"1,000-9,999",100-199
9566,03/29/2018 12:00:00 AM,04/26/2018 12:00:00 AM,Cyberattack,2017-07-01T00:00:00,2018-03-31T00:00:00,Hudson's Bay Company,Malware,,Business,Retail,Name,2018,Unknown,200-299
